arch,training,aug,id_recall,adv_ctr,adv,auc,accuracy,precision,recall,mcc,f1,score_original,score_f1,mcc_normalized,score_mcc,score_auc,score_harmonic,rank_score_original,rank_score_f1,rank_score_mcc,rank_score_auc,rank_score_harmonic
TabNet,standard,goggle,0.0,0.0,0.001,0.672674,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,33.6337,0.0,40,64,64,66,60
TabNet,standard,tablegan,0.013,0.0104,0.014,0.688651,0.792986,0.255047,0.0159022,0.0152264,0.02993777728004446,40.1693,2.016888864002223,50.76132,25.90066,34.95255,1.5437285081088163,38,61,61,62,49
TabNet,standard,tvae,0.0,0.0,0.001,0.666743,0.798943,0.248366,0.00043884,0.00223336,0.000876131954637164,39.94715,0.043806597731858195,50.111667999999995,25.055833999999997,33.33715,0.0,47,62,63,67,60
TabNet,standard,wgan,0.0,0.0,0.001,0.664887,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,33.24435,0.0,40,64,64,68,60
TabTransformer,adversarial,None,0.739,0.7028,0.739,0.711116,0.590108,0.293306,0.738255,0.233295,0.4198193243230581,64.6454,56.1309662161529,61.66475,65.972375,70.69579999999999,52.564393778255614,7,6,6,5,5
TabTransformer,adversarial,ctgan,0.795,0.785,0.795,0.694471,0.526317,0.270867,0.802707,0.211862,0.40505235214106783,65.56585,59.502617607053395,60.5931,69.54655,73.97354999999999,53.43732918277188,2,3,3,3,3
TabTransformer,adversarial,cutmix,0.725,0.7096,0.725,0.701599,0.595631,0.294074,0.723312,0.229871,0.4181446433646478,65.26155,56.387232168232394,61.49355,66.226775,70.55995,52.621032727060395,3,5,5,6,4
TabTransformer,adversarial,goggle,0.636,0.6054,0.636,0.698777,0.64487,0.311815,0.636179,0.230741,0.4185050851884606,62.51350000000001,51.19525425942303,61.53705000000001,61.03852500000001,65.20885000000001,49.48954395049468,14,14,14,14,15
TabTransformer,adversarial,tablegan,0.608,0.5644,0.608,0.693967,0.651073,0.312519,0.614272,0.225072,0.41427176385460457,60.773649999999996,48.93358819273023,61.2536,58.8468,62.91835,47.78210471678356,17,18,18,18,18
TabTransformer,adversarial,tvae,0.687,0.665,0.687,0.702438,0.619565,0.303598,0.690861,0.235254,0.4218253700894833,64.22825,54.341268504474165,61.7627,64.13135,68.37190000000001,51.62078082261777,9,9,9,9,9
TabTransformer,adversarial,wgan,0.665,0.6284,0.665,0.687944,0.614888,0.295685,0.663641,0.214407,0.4090969890622065,62.1644,51.87484945311032,60.72035,61.780175,65.8172,49.55706872148405,15,13,13,13,13
TabTransformer,standard,None,0.695,0.0788,0.695,0.7172,0.633159,0.314217,0.698667,0.254153,0.4334811265995434,35.59795,25.61405632997717,62.70765,35.293825,39.8,13.335768585782516,52,37,37,38,40
TabTransformer,standard,ctgan,0.724,0.0814,0.724,0.711139,0.614378,0.304225,0.714569,0.243796,0.426758999373106,34.7889,25.407949968655302,62.189800000000005,35.1649,39.62695,13.672170557544971,54,39,40,39,38
TabTransformer,standard,cutmix,0.677,0.073,0.677,0.711547,0.638035,0.314073,0.677303,0.24699,0.42914612638906463,35.55175,25.10730631945323,62.3495,34.82475,39.22735,12.477510262447604,53,40,41,41,42
TabTransformer,standard,goggle,0.689,0.0788,0.689,0.712198,0.638207,0.31484,0.681044,0.249339,0.43061218563300424,35.85035,25.470609281650212,62.46695,35.173474999999996,39.5499,13.32211564026461,51,38,39,40,41
TabTransformer,standard,tablegan,0.693,0.1014,0.693,0.709586,0.63621,0.312817,0.677661,0.24523,0.42804359312493123,36.8805,26.472179656246563,62.261500000000005,36.20075,40.5493,16.39593751115399,49,36,36,36,36
TabTransformer,standard,tvae,0.703,0.0482,0.703,0.715508,0.63412,0.3139,0.692743,0.251734,0.4320340531417758,34.116,24.01170265708879,62.58669999999999,33.70335,38.1854,8.672455118563825,56,42,43,44,44
TabTransformer,standard,wgan,0.701,0.0554,0.701,0.710812,0.634449,0.312694,0.684266,0.247168,0.4292366245035672,34.492450000000005,24.23183122517836,62.3584,33.949200000000005,38.3106,9.81341805184743,55,41,42,42,43
RLN,adversarial,None,0.695,0.6304,0.6948,0.715767,0.627545,0.309323,0.692801,0.244785,0.42769015351716055,62.89725,52.90450767585803,62.23925,62.639624999999995,67.30835,50.962741101170344,11,12,12,12,11
RLN,adversarial,ctgan,0.737,0.5434,0.737,0.703617,0.581977,0.290426,0.749007,0.231728,0.418557246039085,56.26885,48.09786230195425,61.5864,57.9632,62.350849999999994,47.28775804411605,26,20,19,19,20
RLN,adversarial,cutmix,0.581,0.4702,0.581,0.705811,0.683358,0.334034,0.579938,0.243208,0.42390578676546914,57.67790000000001,44.70528933827346,62.1604,54.5902,58.80055,44.585440310808316,24,27,27,27,27
RLN,adversarial,goggle,0.678,0.3196,0.678,0.710029,0.644085,0.316625,0.666309,0.247217,0.4292660282451044,48.184250000000006,37.443301412255224,62.36085,47.160425000000004,51.481449999999995,36.64031147158638,34,32,33,33,33
RLN,adversarial,tablegan,0.688,0.4788,0.688,0.704479,0.629394,0.308313,0.679497,0.239,0.4241661018612723,55.4097,45.14830509306361,61.949999999999996,54.915,59.16395,44.98302409189536,29,26,26,26,26
RLN,adversarial,tvae,0.67,0.6434,0.67,0.707949,0.635481,0.312018,0.676067,0.243523,0.4269775842860708,63.944050000000004,53.51887921430354,62.17615,63.258075000000005,67.56745000000001,51.3309287792372,10,11,11,11,10
RLN,adversarial,wgan,0.661,0.4018,0.661,0.70537,0.645825,0.31558,0.652936,0.241432,0.42550364239460126,52.381249999999994,41.365182119730065,62.071600000000004,51.1258,55.35850000000001,41.33122465630276,31,30,30,30,30
RLN,standard,None,0.683,0.0002,0.683,0.718666,0.641318,0.317792,0.685063,0.25502,0.43417551066563204,32.0759,21.718775533281605,62.751000000000005,31.385500000000004,35.9433,0.03998158275537283,66,52,54,51,59
RLN,standard,ctgan,0.705,0.0012,0.705,0.709449,0.61963,0.305655,0.702652,0.242234,0.42599941692103704,31.0415,21.35997084605185,62.111700000000006,31.115850000000002,35.532450000000004,0.2393258417759204,69,57,59,59,57
RLN,standard,cutmix,0.689,0.0,0.689,0.715228,0.632639,0.312914,0.693089,0.250358,0.4311662118789739,31.631949999999996,21.558310593948697,62.517900000000004,31.258950000000002,35.7614,0.0,68,56,57,55,60
RLN,standard,goggle,0.673,0.0002,0.673,0.716876,0.64844,0.320876,0.671863,0.255183,0.4343230435517973,32.432,21.726152177589867,62.75915,31.389575,35.85379999999999,0.039981589008549256,64,51,53,54,58
RLN,standard,tablegan,0.693,0.0014,0.693,0.711831,0.642464,0.316425,0.672118,0.248795,0.43027958951403433,32.193200000000004,21.583979475701717,62.43975,31.289875,35.66155,0.27909191907655306,65,55,56,57,56
RLN,standard,tvae,0.7,0.0,0.7,0.717335,0.633289,0.313958,0.696577,0.253076,0.43283195880273007,31.66445,21.641597940136503,62.653800000000004,31.326900000000002,35.866749999999996,0.0,67,54,55,53,60
RLN,standard,wgan,0.679,0.0052,0.679,0.712454,0.644046,0.316933,0.668249,0.248291,0.4299513395403132,32.4623,21.757566977015664,62.414550000000006,31.467275000000004,35.8827,1.0275721398290063,63,50,51,52,52
VIME,adversarial,None,0.655,0.1036,0.655,0.712662,0.651316,0.320534,0.657081,0.249882,0.43087882496167934,37.7458,26.723941248083968,62.494099999999996,36.427049999999994,40.8131,16.703766054397743,48,35,35,35,35
VIME,adversarial,ctgan,0.789,0.7684,0.789,0.700868,0.535044,0.274945,0.803019,0.220253,0.40963531051968005,65.1722,58.901765525984004,61.01265,68.926325,73.46340000000001,53.43876703733093,4,4,4,4,2
VIME,adversarial,cutmix,0.57,0.5286,0.57,0.700637,0.682121,0.331929,0.575146,0.239001,0.4209302132964826,60.536049999999996,47.47651066482413,61.950050000000005,57.405025,61.46185,46.866062318506025,19,24,24,24,24
VIME,adversarial,goggle,0.568,0.5322,0.568,0.703197,0.685283,0.333747,0.568817,0.239277,0.4206703730216727,60.87415,47.64351865108364,61.96385,57.591925,61.76985,46.990814041566836,16,22,22,21,21
VIME,adversarial,tablegan,0.563,0.5368,0.563,0.695543,0.676644,0.326566,0.574025,0.231765,0.416297849143918,60.672200000000004,47.6548924571959,61.58825,57.634125000000004,61.61715,46.89312553185228,18,21,21,22,23
VIME,adversarial,tvae,0.678,0.6612,0.678,0.705408,0.627914,0.308085,0.684105,0.240108,0.4248430016504054,64.45570000000001,54.30215008252027,62.0054,64.0627,68.3304,51.73021551892701,8,10,10,10,8
VIME,adversarial,wgan,0.617,0.5304,0.617,0.699435,0.659568,0.320039,0.617736,0.236677,0.4216354918459507,59.498400000000004,47.60177459229753,61.83385,57.436925,61.491749999999996,46.980489023836505,21,23,23,23,22
VIME,standard,None,0.67,0.0238,0.67,0.714154,0.644575,0.317863,0.671332,0.250644,0.43144496988850073,33.418749999999996,22.762248494425037,62.532199999999996,32.4561,36.89769999999999,4.511149364632721,59,43,44,45,45
VIME,standard,ctgan,0.773,0.0176,0.773,0.706079,0.570918,0.287115,0.766075,0.231327,0.41768650215842473,29.425900000000002,21.764325107921234,61.56635,31.663175,36.18395,3.3776753478543893,70,49,48,48,47
VIME,standard,cutmix,0.523,0.02,0.523,0.710098,0.710423,0.352628,0.528271,0.248504,0.4229387163950761,36.52115,22.146935819753804,62.425200000000004,32.2126,36.5049,3.8193881071067537,50,44,45,46,46
VIME,standard,goggle,0.644,0.005,0.644,0.713894,0.666247,0.328322,0.632506,0.252732,0.43226391177273515,33.56235,21.863195588636756,62.6366,31.5683,35.944700000000005,0.9885652580366905,58,47,49,50,53
VIME,standard,tablegan,0.607,0.0046,0.607,0.707979,0.676164,0.332276,0.606315,0.249474,0.4292901230004027,34.038199999999996,21.694506150020135,62.4737,31.46685,35.628949999999996,0.9102463785724241,57,53,52,58,54
VIME,standard,tvae,0.668,0.0074,0.668,0.713838,0.653632,0.322322,0.656943,0.252377,0.43246145144445464,33.0516,21.993072572222733,62.61885,31.679425000000002,36.061899999999994,1.4551012507109,60,46,47,49,50
VIME,standard,wgan,0.659,0.0066,0.659,0.708129,0.648305,0.318291,0.657555,0.24682,0.42894849901224696,32.74525,21.777424950612346,62.341,31.5005,35.73645,1.299997635117427,62,48,50,56,51
