dataset,model_type,defence_type,attack_type,attack_epsilon,clean_pr_auc,robust_pr_auc,clean_f1,robust_f1
ieee_cis,neural,input_validation,capgd,0.1,0.3748 +/- 0.0184,0.0182 +/- 0.0000,0.2624 +/- 0.0193,0.0041 +/- 0.0015
ieee_cis,neural,none,capgd,0.01,0.4461 +/- 0.0218,0.2862 +/- 0.0208,0.2976 +/- 0.0265,0.1589 +/- 0.0167
ieee_cis,neural,none,capgd,0.05,0.4461 +/- 0.0218,0.1139 +/- 0.0177,0.2976 +/- 0.0265,0.0225 +/- 0.0005
ieee_cis,neural,none,capgd,0.1,0.4458 +/- 0.0237,0.0714 +/- 0.0101,0.3047 +/- 0.0283,0.0071 +/- 0.0012
ieee_cis,neural,none,capgd,0.15,0.4461 +/- 0.0218,0.0349 +/- 0.0061,0.2976 +/- 0.0265,0.0055 +/- 0.0009
ieee_cis,neural,none,capgd,0.2,0.4461 +/- 0.0218,0.0307 +/- 0.0017,0.2976 +/- 0.0265,0.0047 +/- 0.0011
ieee_cis,neural,none,capgd,0.3,0.4461 +/- 0.0218,0.0335 +/- 0.0007,0.2976 +/- 0.0265,0.0034 +/- 0.0010
ieee_cis,tree,input_validation,capgd,0.1,0.5378 +/- 0.0178,0.5378 +/- 0.0178,0.4260 +/- 0.0182,0.4260 +/- 0.0182
ieee_cis,tree,none,capgd,0.1,0.5660 +/- 0.0142,0.5660 +/- 0.0142,0.4815 +/- 0.0209,0.4815 +/- 0.0209
ieee_cis,tree,none,hopskipjump,0.1,0.5703 +/- 0.0170,0.0605 +/- 0.0423,0.4929 +/- 0.0101,0.0427 +/- 0.0035
ieee_cis,tree,none,square,0.1,0.5660 +/- 0.0142,0.0464 +/- 0.0220,0.4815 +/- 0.0209,0.0304 +/- 0.0225
lcld,ensemble,ensemble,capgd,0.1,0.3870 +/- 0.0013,0.1083 +/- 0.0008,0.4331 +/- 0.0008,0.0107 +/- 0.0021
lcld,ensemble,ensemble,square,0.1,0.3702 +/- 0.0043,0.1445 +/- 0.0057,0.4235 +/- 0.0033,0.0684 +/- 0.0200
lcld,neural,adversarial_training,capgd,0.1,0.3501 +/- 0.0066,0.3010 +/- 0.0043,0.4064 +/- 0.0013,0.3856 +/- 0.0130
lcld,neural,input_validation,capgd,0.1,0.3000 +/- 0.0029,0.1051 +/- 0.0000,0.3744 +/- 0.0011,0.0000 +/- 0.0000
lcld,neural,none,capgd,0.01,0.3081 +/- 0.0022,0.1723 +/- 0.0031,0.3798 +/- 0.0094,0.2189 +/- 0.0206
lcld,neural,none,capgd,0.05,0.3081 +/- 0.0022,0.1055 +/- 0.0001,0.3798 +/- 0.0094,0.0082 +/- 0.0054
lcld,neural,none,capgd,0.1,0.3082 +/- 0.0029,0.1051 +/- 0.0000,0.3784 +/- 0.0091,0.0001 +/- 0.0002
lcld,neural,none,capgd,0.15,0.3081 +/- 0.0022,0.1051 +/- 0.0000,0.3798 +/- 0.0094,0.0000 +/- 0.0001
lcld,neural,none,capgd,0.2,0.3081 +/- 0.0022,0.1051 +/- 0.0000,0.3798 +/- 0.0094,0.0000 +/- 0.0000
lcld,neural,none,capgd,0.3,0.3081 +/- 0.0022,0.1051 +/- 0.0000,0.3798 +/- 0.0094,0.0000 +/- 0.0000
lcld,tree,input_validation,capgd,0.1,0.3669 +/- 0.0049,0.3669 +/- 0.0049,0.0976 +/- 0.0012,0.0976 +/- 0.0012
lcld,tree,none,capgd,0.1,0.3683 +/- 0.0045,0.3683 +/- 0.0045,0.1169 +/- 0.0018,0.1169 +/- 0.0018
lcld,tree,none,hopskipjump,0.1,0.3644,0.1855,0.1180,0.3122
lcld,tree,none,square,0.1,0.3683 +/- 0.0045,0.1920 +/- 0.0216,0.1169 +/- 0.0018,0.0182 +/- 0.0066
sparkov,ensemble,ensemble,capgd,0.1,0.5812 +/- 0.0284,0.0925 +/- 0.0145,0.3239 +/- 0.0106,0.1745 +/- 0.0315
sparkov,ensemble,ensemble,square,0.1,0.5393 +/- 0.0773,0.0747 +/- 0.0138,0.4924 +/- 0.0124,0.1170 +/- 0.0222
sparkov,neural,adversarial_training,capgd,0.1,0.5920 +/- 0.1014,0.2097 +/- 0.0258,0.2671 +/- 0.1106,0.0842 +/- 0.0359
sparkov,neural,input_validation,capgd,0.1,0.4992 +/- 0.1095,0.0051 +/- 0.0006,0.1011 +/- 0.0596,0.0000 +/- 0.0000
sparkov,neural,none,capgd,0.01,0.6047 +/- 0.0197,0.1876 +/- 0.0524,0.1779 +/- 0.0318,0.0981 +/- 0.0091
sparkov,neural,none,capgd,0.05,0.6047 +/- 0.0197,0.0030 +/- 0.0005,0.1779 +/- 0.0318,0.0019 +/- 0.0027
sparkov,neural,none,capgd,0.1,0.5920 +/- 0.0247,0.0053 +/- 0.0000,0.1795 +/- 0.0340,0.0001 +/- 0.0002
sparkov,neural,none,capgd,0.15,0.6047 +/- 0.0197,0.0054 +/- 0.0000,0.1779 +/- 0.0318,0.0000 +/- 0.0000
sparkov,neural,none,capgd,0.2,0.6047 +/- 0.0197,0.0054 +/- 0.0000,0.1779 +/- 0.0318,0.0000 +/- 0.0000
sparkov,neural,none,capgd,0.3,0.6047 +/- 0.0197,0.0054 +/- 0.0000,0.1779 +/- 0.0318,0.0000 +/- 0.0000
sparkov,tree,input_validation,capgd,0.1,0.4377 +/- 0.2830,0.4377 +/- 0.2830,0.3572 +/- 0.2874,0.3572 +/- 0.2874
sparkov,tree,none,capgd,0.1,0.7467 +/- 0.0084,0.7467 +/- 0.0084,0.6422 +/- 0.0331,0.6422 +/- 0.0331
sparkov,tree,none,square,0.1,0.7467 +/- 0.0084,0.1242 +/- 0.0899,0.6422 +/- 0.0331,0.0457 +/- 0.0698
