run_id,dataset,seed,epsilon,model,defence,protocol,constraint_name,clean_pass_rate,adversarial_pass_rate,is_binding
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C2_mask_projection,IEEE-CIS,42,0.01,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_product_ohe,1.0,0.7221234442468885,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,0.979510625687918,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_card6_ohe,1.0,0.9997459994919989,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__B_posthoc_filter,IEEE-CIS,42,0.01,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_product_ohe,1.0,0.03767674202015071,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.054356108712217424,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_card6_ohe,1.0,0.18609770552874438,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_d_nonneg,1.0,0.449496232325798,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__A_unconstrained,IEEE-CIS,42,0.05,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_d_nonneg,1.0,0.45220557107780884,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C1_projection,IEEE-CIS,42,0.05,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__C2_mask_projection,IEEE-CIS,42,0.05,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.05__B_posthoc_filter,IEEE-CIS,42,0.05,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_product_ohe,1.0,0.021166709000084667,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.02302937939209212,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_card6_ohe,1.0,0.17492168317669968,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_d_nonneg,1.0,0.3646600626534586,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__A_unconstrained,IEEE-CIS,42,0.1,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_d_nonneg,1.0,0.36728473456946914,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C1_projection,IEEE-CIS,42,0.1,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__C2_mask_projection,IEEE-CIS,42,0.1,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.1__B_posthoc_filter,IEEE-CIS,42,0.1,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_product_ohe,1.0,0.015324697316061299,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.010837355008043349,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_card6_ohe,1.0,0.17068834137668276,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_d_nonneg,1.0,0.3266446532893066,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__A_unconstrained,IEEE-CIS,42,0.15,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_d_nonneg,1.0,0.3238506477012954,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C1_projection,IEEE-CIS,42,0.15,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__C2_mask_projection,IEEE-CIS,42,0.15,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.15__B_posthoc_filter,IEEE-CIS,42,0.15,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_product_ohe,1.0,0.013462026924053848,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.008043349420032174,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_card6_ohe,1.0,0.17043434086868173,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_d_nonneg,1.0,0.2971805943611887,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__A_unconstrained,IEEE-CIS,42,0.2,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_d_nonneg,1.0,0.29353992041317417,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C1_projection,IEEE-CIS,42,0.2,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__C2_mask_projection,IEEE-CIS,42,0.2,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_d_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.2__B_posthoc_filter,IEEE-CIS,42,0.2,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_product_ohe,1.0,0.7934129201591736,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.9050884768436204,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_card6_ohe,0.9999153331639996,0.9669799339598679,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_d_nonneg,0.9999153331639996,0.8503937007874016,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__A_unconstrained,IEEE-CIS,123,0.01,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_card6_ohe,0.9999153331639996,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_d_nonneg,0.9999153331639996,0.8505630344594023,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C1_projection,IEEE-CIS,123,0.01,MLP,none,C1_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_card6_ohe,0.9999153331639996,0.9999153331639996,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_d_nonneg,0.9999153331639996,0.9999153331639996,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__C2_mask_projection,IEEE-CIS,123,0.01,MLP,none,C2_mask_projection,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_product_ohe,1.0,0.7466768266869868,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_card4_ohe,1.0,0.8952671238675811,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_card6_ohe,0.9999153331639996,0.9999153331639996,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_d_nonneg,0.9999153331639996,0.9999153331639996,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.01__B_posthoc_filter,IEEE-CIS,123,0.01,MLP,none,B_posthoc_filter,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_product_ohe,1.0,0.021166709000084667,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.03818474303615274,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_card6_ohe,0.9999153331639996,0.24841249682499364,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_d_nonneg,0.9999153331639996,0.8518330369994074,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__A_unconstrained,IEEE-CIS,123,0.05,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s123__e0.05__C1_projection,IEEE-CIS,123,0.05,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
