dataset,model,defence,attack,protocol,n_rows,n_seeds,n_eps,status,design_axes
Sparkov,MLP,input_validation,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
Sparkov,MLP,input_validation,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
Sparkov,MLP,input_validation,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
Sparkov,MLP,none,CAPGD,A_unconstrained,15,3,5,measured,"1,3,5,7"
Sparkov,MLP,none,CAPGD,B_posthoc_filter,15,3,5,derived from A,"1,3,5,7"
Sparkov,MLP,none,CAPGD,C1_projection,15,3,5,measured,"1,3,5,7"
Sparkov,MLP,none,CAPGD,C2_mask_projection,15,3,5,measured,"1,3,4,5,7"
Sparkov,MLP,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
Sparkov,MLP,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
Sparkov,XGBoost,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
Sparkov,XGBoost,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
Sparkov,XGBoost,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
