status,item,detail,evidence
PASS,results/figures/input_validation_analysis.csv,LCLD neural robust PR-AUC is unchanged between baseline and input validation,value=0.1051; tolerance=0.0005
PASS,tree + CAPGD no-op invariant,clean and robust PR-AUC are identical and should be interpreted as CAPGD inapplicability,rows=24
WARN,HSJ seed coverage,HSJ must not be described as complete 3-seed coverage for every group,"('ieee_cis', 'tree', 'none') seeds=2; ('lcld', 'tree', 'none') seeds=1"
PASS,results/adv_examples/g1_projection/g1_projection_summary.csv,reproduces from source CSV,"source=g1_projection_results.csv; groupby=attack; metrics=robustness, feasibility, filtered_success_rate"
PASS,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_summary.csv,reproduces from source CSV,source=ieee_ohe_projection_results.csv; groupby=attack; legacy n_mutable_dims backfill from notebook output
WARN,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_summary.csv,legacy n_mutable_dims blanks are backfilled from notebook output,source rows predate n_mutable_dims; summary/dose-response use notebook-recorded values
PASS,results/adv_examples/cross_dataset_feasibility/cross_dataset_feasibility_gradient.csv,reproduces from source CSV,source=cross_dataset_feasibility_results.csv; groupby=dataset; metrics=clean/adv feasibility and robust PR-AUC
PASS,results/mask_ablation/mask_ablation_summary.csv,reproduces from mask result and feasibility CSVs,"source=mask_ablation_results.csv,mask_ablation_feasibility.csv; groupby=variant"
PASS,results/mask_ablation/e1_cost_summary.csv,cost scale sensitivity is internally consistent,"source=e1_cost_summary.csv; checks=0.5x/2.0x mean,median,p95 proportionality"
WARN,results/mask_ablation/e1_cost_distribution.png; results/mask_ablation/e1_affordable_curve.png,original LCLD training split for p1/p99 cost ranges is not committed; figure verification is summary-level only,source=e1_cost_summary.csv; checks=scale proportionality
PASS,results/metric_analysis/rank_sensitivity_lcld.png; results/metric_analysis/rank_sensitivity_lcld.pdf,"leaderboard formulas, ranks, and correlations are internally consistent","source=lcld_leaderboard_reranked.csv,rank_correlation_results.csv; degenerate_models=10"
PASS,results/metric_analysis/adv_vs_advctr_lcld.png,ADV vs ADV+CTR comparison CSV is internally consistent,"source=adv_advctr_comparison.csv; checks=variants,gap_pp,bounded rates"
PASS,04_results.tex:169 figures/adv_vs_advctr_lcld,thesis figure has provenance entry,adv_vs_advctr_lcld.png <- notebooks/tabularbench_metric_analysis.ipynb
PASS,04_results.tex:283 figures/cross_dataset_gradient,thesis figure has provenance entry,gradient.png <- notebooks/cross_dataset_feasibility.ipynb
PASS,04_results.tex:392 figures/g1_projection_bars,thesis figure has provenance entry,g1_projection_bars.png <- notebooks/g1_projection_attack.ipynb
PASS,04_results.tex:475 figures/ieee_ohe_projection_bars,thesis figure has provenance entry,ieee_ohe_projection_bars.png <- notebooks/ieee_cis_ohe_projection_attack.ipynb
PASS,04_results.tex:596 figures/defence_heatmap,thesis figure has provenance entry,defence_heatmap.png <- scripts/generate_figures.py
PASS,04_results.tex:645 figures/input_validation_analysis,thesis figure has provenance entry,input_validation_analysis.png <- scripts/analyse_input_validation.py
PASS,07_appendix.tex:155 figures/rank_sensitivity_lcld,thesis figure has provenance entry,rank_sensitivity_lcld.pdf <- notebooks/tabularbench_metric_analysis.ipynb
WARN,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_dose_response.png,result figure exists but is not used in thesis,provenance=notebooks/ieee_cis_ohe_projection_attack.ipynb
WARN,results/figures/attack_comparison.png,result figure exists but is not used in thesis,provenance=scripts/generate_figures.py
WARN,results/figures/robustness_bars.png,result figure exists but is not used in thesis,provenance=scripts/generate_figures.py
WARN,results/figures/robustness_curves.png,result figure exists but is not used in thesis,provenance=scripts/generate_figures.py
WARN,results/figures/summary_table.png,result figure exists but is not used in thesis,provenance=scripts/generate_figures.py
WARN,results/figures/training_time.png,result figure exists but is not used in thesis,provenance=scripts/generate_figures.py
WARN,results/mask_ablation/e1_affordable_curve.png,result figure exists but is not used in thesis,provenance=notebooks/mask_ablation.ipynb
WARN,results/mask_ablation/e1_cost_distribution.png,result figure exists but is not used in thesis,provenance=notebooks/mask_ablation.ipynb
WARN,results/metric_analysis/rank_sensitivity_lcld.png,result figure exists but is not used in thesis,provenance=notebooks/tabularbench_metric_analysis.ipynb
